127.0.0.1 - - [27/May/2018:09:25:57 +0900] "GET / HTTP/1.1" 404 1073
192.168.33.119 - - [27/May/2018:09:40:47 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:50:41 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:50:52 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:52:34 +0900] "POST /TodayMyStore/AndroidController?command=android_info_update HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:57:42 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:58:17 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:58:22 +0900] "POST /TodayMyStore/AndroidController?command=android_IdCheck HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:58:32 +0900] "POST /TodayMyStore/AndroidController?command=android_join HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:58:50 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:09:59:43 +0900] "POST /TodayMyStore/AndroidController?command=android_info_update HTTP/1.1" 200 1
192.168.33.119 - - [27/May/2018:10:48:53 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
172.30.1.219 - - [27/May/2018:13:30:06 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
172.30.1.219 - - [27/May/2018:13:30:11 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
