127.0.0.1 - - [30/Aug/2018:18:44:22 +0900] "GET / HTTP/1.1" 404 1073
192.168.0.155 - - [30/Aug/2018:18:57:44 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:18:57:52 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 67
192.168.0.155 - - [30/Aug/2018:18:57:57 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:18:58:00 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:18:58:02 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:18:58:04 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:18:58:05 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:18:59:46 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:18:59:55 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:04:55 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:05:01 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:05:03 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:05:04 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:05:06 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:06:12 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:06:14 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:06:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:06:17 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:06:17 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:06:18 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:08:12 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:08:16 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:08:18 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:08:19 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 36
192.168.0.155 - - [30/Aug/2018:19:08:26 +0900] "POST /TodayMyStore/AndroidController?command=android_add_item HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:08:26 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:09:10 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:09:11 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:09:13 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:11:56 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:11:58 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:12:00 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:12:00 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:12:01 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 40
192.168.0.155 - - [30/Aug/2018:19:12:03 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:15:29 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:15:32 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:15:52 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:15:54 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:41:38 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:41:39 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:41:47 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:42:43 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:42:46 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:47:54 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:48:06 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
192.168.0.155 - - [30/Aug/2018:19:48:41 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [30/Aug/2018:19:48:44 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 77
