127.0.0.1 - - [13/Sep/2018:20:48:17 +0900] "GET / HTTP/1.1" 404 1073
192.168.0.155 - - [13/Sep/2018:20:52:21 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:52:26 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:52:27 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:20:52:35 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:52:35 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:54:23 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:54:28 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:54:42 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:54:42 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:57:33 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:57:35 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 67
192.168.0.155 - - [13/Sep/2018:20:57:37 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:57:42 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:57:42 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:58:40 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:58:42 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:58:42 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:59:29 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:59:31 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:20:59:38 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:20:59:39 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:21:00:49 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:00:53 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:00:53 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:21:00:56 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:00:57 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:21:01:07 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_insert HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:01:07 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:01:13 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:02:33 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:02:41 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:03:00 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:03:05 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 314
192.168.0.155 - - [13/Sep/2018:21:03:07 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:03:22 +0900] "POST /TodayMyStore/AndroidController?command=android_user_info HTTP/1.1" 200 67
192.168.0.155 - - [13/Sep/2018:21:09:42 +0900] "POST /TodayMyStore/AndroidController?command=android_login HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:09:44 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:09:49 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 1
192.168.0.155 - - [13/Sep/2018:21:09:49 +0900] "POST /TodayMyStore/AndroidController?command=android_item_list HTTP/1.1" 200 107
192.168.0.155 - - [13/Sep/2018:21:10:23 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:10:31 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
192.168.0.155 - - [13/Sep/2018:21:10:36 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_check HTTP/1.1" 200 470
192.168.0.155 - - [13/Sep/2018:21:10:58 +0900] "POST /TodayMyStore/AndroidController?command=android_txn_update HTTP/1.1" 200 -
